V1,V2,V3,start,duration,V6,V7,tier,V9,V10,end,id,source
SPEAKER,MPILab_0001_258640_01_S_Audio,1,113.012,1.061,<NA>,<NA>,KCHI,<NA>,<NA>,114.07300000000001,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,113.992,0.987,<NA>,<NA>,FEM,<NA>,<NA>,114.979,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,116.458,6.438,<NA>,<NA>,SPEECH,<NA>,<NA>,122.896,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,116.471,1.52,<NA>,<NA>,FEM,<NA>,<NA>,117.991,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,117.511,1.001,<NA>,<NA>,KCHI,<NA>,<NA>,118.512,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,118.564,3.412,<NA>,<NA>,FEM,<NA>,<NA>,121.976,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,123.174,2.248,<NA>,<NA>,SPEECH,<NA>,<NA>,125.42200000000001,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,123.203,1.79,<NA>,<NA>,KCHI,<NA>,<NA>,124.99300000000001,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,125.53,2.3,<NA>,<NA>,SPEECH,<NA>,<NA>,127.83,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,125.553,2.04,<NA>,<NA>,FEM,<NA>,<NA>,127.593,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,128.439,2.457,<NA>,<NA>,SPEECH,<NA>,<NA>,130.896,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,128.491,2.411,<NA>,<NA>,FEM,<NA>,<NA>,130.90200000000002,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,134.065,0.997,<NA>,<NA>,SPEECH,<NA>,<NA>,135.062,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,134.077,0.991,<NA>,<NA>,CHI,<NA>,<NA>,135.068,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,134.492,0.508,<NA>,<NA>,KCHI,<NA>,<NA>,135,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,135.597,2.641,<NA>,<NA>,SPEECH,<NA>,<NA>,138.238,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,135.614,2.626,<NA>,<NA>,FEM,<NA>,<NA>,138.24,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,138.491,6.445,<NA>,<NA>,SPEECH,<NA>,<NA>,144.936,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,138.571,0.505,<NA>,<NA>,FEM,<NA>,<NA>,139.076,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,139.04,4.522,<NA>,<NA>,KCHI,<NA>,<NA>,143.56199999999998,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,139.902,0.133,<NA>,<NA>,CHI,<NA>,<NA>,140.035,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,140.181,0.694,<NA>,<NA>,CHI,<NA>,<NA>,140.875,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,140.441,0.472,<NA>,<NA>,FEM,<NA>,<NA>,140.913,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,143.085,0.353,<NA>,<NA>,FEM,<NA>,<NA>,143.43800000000002,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,143.669,1.261,<NA>,<NA>,FEM,<NA>,<NA>,144.93,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,145.888,5.23,<NA>,<NA>,SPEECH,<NA>,<NA>,151.118,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,145.913,1.438,<NA>,<NA>,KCHI,<NA>,<NA>,147.351,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,147.012,0.915,<NA>,<NA>,CHI,<NA>,<NA>,147.927,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,147.012,4.042,<NA>,<NA>,FEM,<NA>,<NA>,151.054,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,151.325,3.461,<NA>,<NA>,SPEECH,<NA>,<NA>,154.786,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,151.345,3.402,<NA>,<NA>,KCHI,<NA>,<NA>,154.74699999999999,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,152.353,0.381,<NA>,<NA>,CHI,<NA>,<NA>,152.734,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,153.095,0.415,<NA>,<NA>,FEM,<NA>,<NA>,153.51,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,153.311,0.133,<NA>,<NA>,CHI,<NA>,<NA>,153.44400000000002,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,156.269,0.628,<NA>,<NA>,FEM,<NA>,<NA>,156.897,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,156.273,0.643,<NA>,<NA>,SPEECH,<NA>,<NA>,156.916,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,157.019,3.164,<NA>,<NA>,SPEECH,<NA>,<NA>,160.183,258640,Audio
